Ensemble,Target,Horizon,MAE_at_horizon
Ensemble-Weighted (all),CI,11,6.632828292071065
Ensemble-Weighted (all),CI,12,6.787004632161613
Ensemble-Weighted (all),CI,13,6.611836983191914
Ensemble-Weighted (all),CI,14,6.766448202490016
Ensemble-Weighted (all),CI,15,7.225342754107277
Ensemble-Weighted (all),CI,16,7.1273753531324395
Ensemble-Weighted (all),CI,17,6.833324340758569
Ensemble-Weighted (all),CI,18,7.260446268604324
Ensemble-Weighted (all),CI,19,8.183130217958485
Ensemble-Weighted (all),CI,20,7.343863667611107
Ensemble-Weighted (all),CI,21,6.327027718861977
Ensemble-Weighted (all),CI,22,6.167360999574556
Ensemble-Weighted (all),CI,23,5.604469242306404
Ensemble-Weighted (all),CI,24,6.440288459073596
Ensemble-Weighted (all),RE,1,0.12740309671612896
Ensemble-Weighted (all),RE,2,0.3551836398121826
Ensemble-Weighted (all),RE,3,0.3948905998719742
Ensemble-Weighted (all),RE,4,0.4122838876506041
Ensemble-Weighted (all),RE,5,0.42232971238810896
Ensemble-Weighted (all),RE,6,0.4805037872859441
Ensemble-Weighted (all),RE,7,0.44482309574732526
Ensemble-Weighted (all),RE,8,0.5120284550104646
Ensemble-Weighted (all),RE,9,0.5237284607301101
Ensemble-Weighted (all),RE,10,0.5348569692396554
Ensemble-Weighted (all),RE,11,0.6848051302446208
Ensemble-Weighted (all),RE,12,0.7012342158548504
Ensemble-Weighted (all),RE,13,0.7080419502370867
Ensemble-Weighted (all),RE,14,0.808049402813995
Ensemble-Weighted (all),RE,15,0.7927592378410163
Ensemble-Weighted (all),RE,16,0.8120563838180752
Ensemble-Weighted (all),RE,17,0.8070609019786626
Ensemble-Weighted (all),RE,18,0.7813187108538375
Ensemble-Weighted (all),RE,19,0.9295369822297223
Ensemble-Weighted (all),RE,20,0.8282965679684893
Ensemble-Weighted (all),RE,21,0.7722615092068481
Ensemble-Weighted (all),RE,22,0.7820578665956657
Ensemble-Weighted (all),RE,23,0.8115980712158403
Ensemble-Weighted (all),RE,24,0.8109057892070344
Ensemble-Weighted (mstl_multi_only),CI,1,1.3149838766570827
Ensemble-Weighted (mstl_multi_only),CI,2,3.3739289035437072
Ensemble-Weighted (mstl_multi_only),CI,3,3.9052468942048724
Ensemble-Weighted (mstl_multi_only),CI,4,4.141356101094208
Ensemble-Weighted (mstl_multi_only),CI,5,4.289579863482356
Ensemble-Weighted (mstl_multi_only),CI,6,4.976484643842367
Ensemble-Weighted (mstl_multi_only),CI,7,4.780491900510766
Ensemble-Weighted (mstl_multi_only),CI,8,6.002661473335561
Ensemble-Weighted (mstl_multi_only),CI,9,6.115719673355691
Ensemble-Weighted (mstl_multi_only),CI,10,6.502499931438231
Ensemble-Weighted (mstl_multi_only),CI,11,7.893542241420603
Ensemble-Weighted (mstl_multi_only),CI,12,7.837806630173678
Ensemble-Weighted (mstl_multi_only),CI,13,7.855215192130647
Ensemble-Weighted (mstl_multi_only),CI,14,7.686646689473868
Ensemble-Weighted (mstl_multi_only),CI,15,8.05057377786556
Ensemble-Weighted (mstl_multi_only),CI,16,8.17606257195144
Ensemble-Weighted (mstl_multi_only),CI,17,8.432374021089698
Ensemble-Weighted (mstl_multi_only),CI,18,8.646786386439306
Ensemble-Weighted (mstl_multi_only),CI,19,9.897449311121349
Ensemble-Weighted (mstl_multi_only),CI,20,9.319012750670167
Ensemble-Weighted (mstl_multi_only),CI,21,8.910472017006448
Ensemble-Weighted (mstl_multi_only),CI,22,9.218608275773487
Ensemble-Weighted (mstl_multi_only),CI,23,9.172929726481426
Ensemble-Weighted (mstl_multi_only),CI,24,9.556290917114552
Ensemble-Weighted (mstl_multi_only),RE,1,0.1870816317192412
Ensemble-Weighted (mstl_multi_only),RE,2,0.45046150286872055
Ensemble-Weighted (mstl_multi_only),RE,3,0.5303958097413716
Ensemble-Weighted (mstl_multi_only),RE,4,0.5924160952525098
Ensemble-Weighted (mstl_multi_only),RE,5,0.6405956683332771
Ensemble-Weighted (mstl_multi_only),RE,6,0.7546670335984098
Ensemble-Weighted (mstl_multi_only),RE,7,0.7991417933762474
Ensemble-Weighted (mstl_multi_only),RE,8,0.9056415512808317
Ensemble-Weighted (mstl_multi_only),RE,9,0.8641864657959221
Ensemble-Weighted (mstl_multi_only),RE,10,0.9418942561624942
Ensemble-Weighted (mstl_multi_only),RE,11,1.1231712171864858
Ensemble-Weighted (mstl_multi_only),RE,12,1.1593119274075854
